sheet,chain,co_owned,state,empft,emppt,wage_st,empft2,emppt2,wage_st2,fte,fte2,dfte,gap,dw,sample
56.0,4.0,1.0,0.0,20.0,20.0,5.0,0.0,36.0,5.25,30.0,18.0,-12.0,0.0,0.25,1.0
61.0,4.0,1.0,0.0,6.0,26.0,5.5,28.0,3.0,4.75,19.0,29.5,10.5,0.0,-0.75,1.0
445.0,1.0,0.0,0.0,50.0,35.0,5.0,15.0,18.0,4.75,67.5,24.0,-43.5,0.0,-0.25,1.0
451.0,1.0,0.0,0.0,10.0,17.0,5.0,26.0,9.0,5.0,18.5,30.5,12.0,0.0,0.0,1.0
455.0,2.0,1.0,0.0,2.0,8.0,5.25,3.0,12.0,5.0,6.0,9.0,3.0,0.0,-0.25,1.0
458.0,2.0,1.0,0.0,2.0,10.0,5.0,2.0,9.0,5.0,7.0,6.5,-0.5,0.0,0.0,1.0
462.0,3.0,1.0,0.0,2.5,20.0,5.0,1.0,25.0,4.75,12.5,13.5,1.0,0.0,-0.25,1.0
468.0,1.0,0.0,0.0,40.0,30.0,5.0,9.0,32.0,5.0,55.0,25.0,-30.0,0.0,0.0,1.0
469.0,1.0,0.0,0.0,8.0,27.0,5.0,7.0,39.0,4.5,21.5,26.5,5.0,0.0,-0.5,1.0
470.0,1.0,0.0,0.0,10.5,30.0,5.5,18.0,10.0,4.75,25.5,23.0,-2.5,0.0,-0.75,1.0
474.0,1.0,0.0,0.0,6.0,9.0,5.0,5.0,20.0,4.5,10.5,15.0,4.5,0.0,-0.5,1.0
481.0,2.0,1.0,0.0,5.0,17.5,5.25,15.0,4.0,5.0,13.75,17.0,3.25,0.0,-0.25,1.0
483.0,2.0,1.0,0.0,1.0,15.0,5.0,4.0,13.0,4.75,8.5,10.5,2.0,0.0,-0.25,1.0
487.0,3.0,1.0,0.0,10.0,6.0,5.0,6.0,20.0,4.75,13.0,16.0,3.0,0.0,-0.25,1.0
488.0,3.0,0.0,0.0,20.0,13.0,5.0,5.0,15.0,4.75,26.5,12.5,-14.0,0.0,-0.25,1.0
489.0,3.0,0.0,0.0,5.0,23.0,5.0,2.0,19.0,4.25,16.5,11.5,-5.0,0.0,-0.75,1.0
490.0,3.0,1.0,0.0,10.0,12.5,5.0,2.0,18.0,5.0,16.25,11.0,-5.25,0.0,0.0,1.0
493.0,3.0,1.0,0.0,27.0,12.0,5.0,0.0,30.0,4.900000095367432,33.0,15.0,-18.0,0.0,-0.09999990463256836,1.0
495.0,3.0,0.0,0.0,4.0,28.0,5.0,8.0,20.0,5.0,18.0,18.0,0.0,0.0,0.0,1.0
496.0,3.0,1.0,0.0,10.0,15.0,5.0,10.0,10.0,4.75,17.5,15.0,-2.5,0.0,-0.25,1.0
499.0,4.0,1.0,0.0,0.0,28.0,5.0,0.0,31.0,5.0,14.0,15.5,1.5,0.0,0.0,1.0
509.0,3.0,1.0,0.0,3.0,16.0,5.0,5.5,10.0,4.25,11.0,10.5,-0.5,0.0,-0.75,1.0
515.0,3.0,1.0,0.0,7.0,16.0,5.0,5.0,19.0,4.75,15.0,14.5,-0.5,0.0,-0.25,1.0
37.0,1.0,0.0,0.0,21.0,9.0,4.25,6.0,25.0,4.25,25.5,18.5,-7.0,0.0,0.0,1.0
40.0,1.0,0.0,0.0,10.0,20.0,4.25,7.0,25.0,4.25,20.0,19.5,-0.5,0.0,0.0,1.0
41.0,1.0,0.0,0.0,0.0,27.0,4.25,0.0,42.0,4.25,13.5,21.0,7.5,0.0,0.0,1.0
42.0,1.0,0.0,0.0,17.0,4.0,4.5,0.0,22.0,4.25,19.0,11.0,-8.0,0.0,-0.25,1.0
45.0,1.0,0.0,0.0,0.0,24.0,4.25,11.0,12.0,4.25,12.0,17.0,5.0,0.0,0.0,1.0
48.0,1.0,0.0,0.0,6.0,20.0,4.25,7.5,25.0,4.380000114440918,16.0,20.0,4.0,0.0,0.13000011444091797,1.0
50.0,2.0,0.0,0.0,6.0,10.0,4.5,4.0,20.0,4.75,11.0,14.0,3.0,0.0,0.25,1.0
51.0,2.0,0.0,0.0,0.0,15.0,4.25,6.0,15.0,4.25,7.5,13.5,6.0,0.0,0.0,1.0
57.0,4.0,1.0,0.0,30.0,10.0,4.670000076293945,7.0,18.0,4.5,35.0,16.0,-19.0,0.0,-0.1700000762939453,1.0
58.0,4.0,1.0,0.0,8.0,25.0,4.75,0.0,28.0,4.5,20.5,14.0,-6.5,0.0,-0.25,1.0
59.0,4.0,0.0,0.0,0.0,15.0,4.25,0.0,16.0,4.25,7.5,8.0,0.5,0.0,0.0,1.0
60.0,4.0,0.0,0.0,10.0,20.0,4.25,10.0,20.0,4.25,20.0,20.0,0.0,0.0,0.0,1.0
407.0,2.0,1.0,0.0,2.0,12.0,4.75,1.0,14.0,4.25,8.0,8.0,0.0,0.0,-0.5,1.0
430.0,1.0,0.0,0.0,20.0,25.0,4.25,0.0,48.0,4.25,32.5,24.0,-8.5,0.0,0.0,1.0
432.0,1.0,0.0,0.0,20.0,55.0,4.5,25.0,10.0,5.050000190734863,47.5,30.0,-17.5,0.0,0.5500001907348633,1.0
434.0,1.0,0.0,0.0,15.0,50.0,4.25,19.0,29.0,4.25,40.0,33.5,-6.5,0.0,0.0,1.0
435.0,1.0,0.0,0.0,1.0,37.5,4.25,0.0,32.0,4.25,19.75,16.0,-3.75,0.0,0.0,1.0
438.0,2.0,0.0,0.0,0.0,9.0,4.25,2.0,9.0,4.25,4.5,6.5,2.0,0.0,0.0,1.0
441.0,4.0,0.0,0.0,30.0,10.0,4.25,0.0,30.0,4.25,35.0,15.0,-20.0,0.0,0.0,1.0
443.0,4.0,0.0,0.0,4.0,19.0,4.25,5.0,20.0,4.349999904632568,13.5,15.0,1.5,0.0,0.09999990463256836,1.0
444.0,4.0,0.0,0.0,12.0,20.0,4.25,10.0,35.0,4.5,22.0,27.5,5.5,0.0,0.25,1.0
448.0,1.0,0.0,0.0,8.0,18.0,4.75,8.0,27.0,4.5,17.0,21.5,4.5,0.0,-0.25,1.0
449.0,1.0,0.0,0.0,0.0,25.0,4.869999885559082,15.0,15.0,5.0,12.5,22.5,10.0,0.0,0.13000011444091797,1.0
450.0,1.0,0.0,0.0,2.0,21.0,4.75,27.5,8.0,4.75,12.5,31.5,19.0,0.0,0.0,1.0
454.0,2.0,1.0,0.0,1.0,9.0,4.5,0.0,18.0,5.0,5.5,9.0,3.5,0.0,0.5,1.0
459.0,3.0,1.0,0.0,5.0,20.0,4.25,0.0,20.0,4.349999904632568,15.0,10.0,-5.0,0.0,0.09999990463256836,1.0
471.0,1.0,0.0,0.0,25.0,20.0,4.25,12.0,23.0,4.25,35.0,23.5,-11.5,0.0,0.0,1.0
472.0,1.0,0.0,0.0,37.5,2.0,4.25,8.0,25.0,4.900000095367432,38.5,20.5,-18.0,0.0,0.6500000953674316,1.0
473.0,1.0,0.0,0.0,5.0,27.0,4.75,26.0,15.0,4.5,18.5,33.5,15.0,0.0,-0.25,1.0
475.0,1.0,0.0,0.0,25.0,8.0,4.5,10.0,16.0,4.5,29.0,18.0,-11.0,0.0,0.0,1.0
476.0,1.0,0.0,0.0,6.0,30.0,4.25,5.0,30.0,4.75,21.0,20.0,-1.0,0.0,0.5,1.0
477.0,1.0,0.0,0.0,8.0,28.0,4.25,6.0,20.0,6.25,22.0,16.0,-6.0,0.0,2.0,1.0
478.0,1.0,0.0,0.0,32.0,25.0,4.5,8.0,30.0,4.349999904632568,44.5,23.0,-21.5,0.0,-0.15000009536743164,1.0
485.0,2.0,1.0,0.0,1.0,9.0,4.5,4.0,12.0,4.5,5.5,10.0,4.5,0.0,0.0,1.0
492.0,3.0,1.0,0.0,2.0,16.0,4.5,4.0,15.0,4.5,10.0,11.5,1.5,0.0,0.0,1.0
498.0,4.0,1.0,0.0,20.0,10.0,4.75,21.0,5.5,5.0,25.0,23.75,-1.25,0.0,0.25,1.0
501.0,1.0,0.0,0.0,14.0,15.0,4.25,30.0,15.0,4.75,21.5,37.5,16.0,0.0,0.5,1.0
503.0,1.0,0.0,0.0,7.5,14.0,4.75,35.0,6.5,4.5,14.5,38.25,23.75,0.0,-0.25,1.0
511.0,3.0,1.0,0.0,4.0,16.0,4.75,3.0,13.0,4.75,12.0,9.5,-2.5,0.0,0.0,1.0
514.0,3.0,0.0,0.0,5.0,20.0,4.5,23.0,16.0,4.25,15.0,31.0,16.0,0.0,-0.25,1.0
516.0,3.0,1.0,0.0,6.0,22.5,4.75,2.0,12.0,4.909999847412109,17.25,8.0,-9.25,0.0,0.15999984741210938,1.0
521.0,1.0,0.0,0.0,2.5,20.0,4.25,0.0,12.0,4.400000095367432,12.5,6.0,-6.5,0.0,0.15000009536743164,1.0
522.0,1.0,0.0,0.0,2.0,30.0,4.349999904632568,3.0,23.0,4.25,17.0,14.5,-2.5,0.0,-0.09999990463256836,1.0
6.0,3.0,1.0,1.0,2.0,2.0,5.0,5.0,2.0,5.050000190734863,3.0,6.0,3.0,0.009999999776482582,0.05000019073486328,1.0
14.0,2.0,0.0,1.0,10.0,8.0,5.119999885559082,4.0,17.0,5.050000190734863,14.0,12.5,-1.5,0.0,-0.06999969482421875,1.0
26.0,1.0,0.0,1.0,30.0,15.0,5.559999942779541,10.0,20.0,5.050000190734863,37.5,20.0,-17.5,0.0,-0.5099997520446777,1.0
27.0,2.0,1.0,1.0,4.0,10.0,5.0,0.0,7.0,5.050000190734863,9.0,3.5,-5.5,0.009999999776482582,0.05000019073486328,1.0
30.0,2.0,0.0,1.0,6.0,4.0,5.0,4.0,3.0,5.050000190734863,8.0,5.5,-2.5,0.009999999776482582,0.05000019073486328,1.0
31.0,2.0,0.0,1.0,4.0,16.0,5.25,6.0,15.0,5.050000190734863,12.0,13.5,1.5,0.0,-0.19999980926513672,1.0
33.0,3.0,0.0,1.0,12.0,20.0,5.0,6.0,11.0,5.050000190734863,22.0,11.5,-10.5,0.009999999776482582,0.05000019073486328,1.0
36.0,4.0,0.0,1.0,8.0,12.0,5.5,10.0,35.0,5.050000190734863,14.0,27.5,13.5,0.0,-0.4499998092651367,1.0
77.0,3.0,0.0,1.0,6.0,50.0,5.0,4.0,60.0,5.050000190734863,31.0,34.0,3.0,0.009999999776482582,0.05000019073486328,1.0
78.0,3.0,1.0,1.0,13.0,10.0,5.0,10.0,12.0,5.050000190734863,18.0,16.0,-2.0,0.009999999776482582,0.05000019073486328,1.0
81.0,4.0,0.0,1.0,25.0,13.0,5.0,0.0,45.0,5.050000190734863,31.5,22.5,-9.0,0.009999999776482582,0.05000019073486328,1.0
82.0,4.0,0.0,1.0,8.0,14.5,5.0,25.0,8.0,5.050000190734863,15.25,29.0,13.75,0.009999999776482582,0.05000019073486328,1.0
85.0,1.0,0.0,1.0,7.0,20.0,5.5,0.0,35.0,5.050000190734863,17.0,17.5,0.5,0.0,-0.4499998092651367,1.0
89.0,1.0,1.0,1.0,10.0,6.0,5.0,6.0,25.0,5.5,13.0,18.5,5.5,0.009999999776482582,0.5,1.0
94.0,2.0,0.0,1.0,0.0,25.0,5.0,2.0,20.0,5.050000190734863,12.5,12.0,-0.5,0.009999999776482582,0.05000019073486328,1.0
112.0,4.0,0.0,1.0,4.0,26.0,5.0,5.0,25.0,5.050000190734863,17.0,17.5,0.5,0.009999999776482582,0.05000019073486328,1.0
128.0,2.0,1.0,1.0,6.5,7.5,5.0,3.0,16.0,5.050000190734863,10.25,11.0,0.75,0.009999999776482582,0.05000019073486328,1.0
129.0,3.0,0.0,1.0,20.0,20.0,5.25,7.0,18.0,5.050000190734863,30.0,16.0,-14.0,0.0,-0.19999980926513672,1.0
131.0,3.0,0.0,1.0,15.0,25.0,5.5,8.0,22.0,5.050000190734863,27.5,19.0,-8.5,0.0,-0.4499998092651367,1.0
144.0,4.0,0.0,1.0,10.0,30.0,5.050000190734863,4.0,37.0,5.050000190734863,25.0,22.5,-2.5,0.0,0.0,1.0
145.0,1.0,0.0,1.0,5.0,17.0,5.0,10.0,8.0,5.28000020980835,13.5,14.0,0.5,0.009999999776482582,0.2800002098083496,1.0
147.0,1.0,0.0,1.0,8.5,6.5,5.119999885559082,6.0,0.0,5.25,11.75,6.0,-5.75,0.0,0.13000011444091797,1.0
148.0,1.0,0.0,1.0,4.5,30.0,5.25,7.5,30.0,5.050000190734863,19.5,22.5,3.0,0.0,-0.19999980926513672,1.0
152.0,1.0,0.0,1.0,35.0,15.0,5.119999885559082,12.0,13.5,5.050000190734863,42.5,18.75,-23.75,0.0,-0.06999969482421875,1.0
157.0,2.0,0.0,1.0,10.0,5.0,5.0,12.0,8.0,5.5,12.5,16.0,3.5,0.009999999776482582,0.5,1.0
161.0,3.0,1.0,1.0,8.0,25.0,5.0,26.0,12.0,5.050000190734863,20.5,32.0,11.5,0.009999999776482582,0.05000019073486328,1.0
163.0,3.0,1.0,1.0,12.0,18.0,5.0,1.5,33.0,5.050000190734863,21.0,18.0,-3.0,0.009999999776482582,0.05000019073486328,1.0
164.0,3.0,1.0,1.0,4.0,30.0,5.0,5.0,15.0,5.050000190734863,19.0,12.5,-6.5,0.009999999776482582,0.05000019073486328,1.0
165.0,4.0,0.0,1.0,20.0,10.0,5.0,10.0,17.0,5.050000190734863,25.0,18.5,-6.5,0.009999999776482582,0.05000019073486328,1.0
169.0,1.0,1.0,1.0,12.0,33.0,5.0,20.0,6.0,5.050000190734863,28.5,23.0,-5.5,0.009999999776482582,0.05000019073486328,1.0
170.0,1.0,1.0,1.0,10.0,20.0,5.0,20.0,20.0,5.050000190734863,20.0,30.0,10.0,0.009999999776482582,0.05000019073486328,1.0
187.0,3.0,0.0,1.0,4.0,20.0,5.619999885559082,5.0,17.5,5.050000190734863,14.0,13.75,-0.25,0.0,-0.56999969482421875,1.0
190.0,3.0,1.0,1.0,5.0,42.0,5.0,7.0,30.0,5.050000190734863,26.0,22.0,-4.0,0.009999999776482582,0.05000019073486328,1.0
196.0,4.0,1.0,1.0,8.0,19.0,5.0,0.0,30.0,5.050000190734863,17.5,15.0,-2.5,0.009999999776482582,0.05000019073486328,1.0
197.0,1.0,0.0,1.0,23.0,10.0,5.0,5.0,21.0,5.050000190734863,28.0,15.5,-12.5,0.009999999776482582,0.05000019073486328,1.0
234.0,1.0,0.0,1.0,0.0,10.0,5.0,10.0,4.0,5.050000190734863,5.0,12.0,7.0,0.009999999776482582,0.05000019073486328,1.0
240.0,3.0,1.0,1.0,15.0,35.0,5.099999904632568,15.0,15.0,5.050000190734863,32.5,22.5,-10.0,0.0,-0.04999971389770508,1.0
242.0,3.0,1.0,1.0,25.0,10.0,5.25,12.0,10.0,5.050000190734863,30.0,17.0,-13.0,0.0,-0.19999980926513672,1.0
245.0,3.0,0.0,1.0,15.0,8.0,5.5,8.0,12.0,5.050000190734863,19.0,14.0,-5.0,0.0,-0.4499998092651367,1.0
259.0,1.0,0.0,1.0,13.0,12.0,5.0,15.0,15.0,5.050000190734863,19.0,22.5,3.5,0.009999999776482582,0.05000019073486328,1.0
268.0,1.0,1.0,1.0,10.0,18.0,5.0,0.0,42.5,5.050000190734863,19.0,21.25,2.25,0.009999999776482582,0.05000019073486328,1.0
271.0,2.0,1.0,1.0,0.0,13.0,5.0,0.0,15.0,5.050000190734863,6.5,7.5,1.0,0.009999999776482582,0.05000019073486328,1.0
272.0,2.0,1.0,1.0,4.0,11.0,5.050000190734863,2.0,14.0,5.25,9.5,9.0,-0.5,0.0,0.19999980926513672,1.0
274.0,2.0,1.0,1.0,0.0,15.0,5.5,3.0,7.0,5.050000190734863,7.5,6.5,-1.0,0.0,-0.4499998092651367,1.0
276.0,2.0,1.0,1.0,5.0,10.0,5.0,5.0,15.0,5.050000190734863,10.0,12.5,2.5,0.009999999776482582,0.05000019073486328,1.0
296.0,1.0,1.0,1.0,5.0,16.0,5.300000190734863,4.0,9.0,5.050000190734863,13.0,8.5,-4.5,0.0,-0.25,1.0
299.0,2.0,1.0,1.0,3.0,8.0,5.0,6.0,12.0,5.050000190734863,7.0,12.0,5.0,0.009999999776482582,0.05000019073486328,1.0
301.0,2.0,1.0,1.0,8.0,12.0,5.0,2.0,7.0,5.050000190734863,14.0,5.5,-8.5,0.009999999776482582,0.05000019073486328,1.0
320.0,2.0,0.0,1.0,5.0,9.0,5.0,4.0,6.0,5.050000190734863,9.5,7.0,-2.5,0.009999999776482582,0.05000019073486328,1.0
321.0,2.0,0.0,1.0,3.0,14.0,5.0,4.0,11.0,5.050000190734863,10.0,9.5,-0.5,0.009999999776482582,0.05000019073486328,1.0
324.0,3.0,0.0,1.0,20.0,46.0,5.25,22.0,39.0,5.050000190734863,43.0,41.5,-1.5,0.0,-0.19999980926513672,1.0
326.0,3.0,1.0,1.0,18.0,45.0,5.150000095367432,0.0,45.0,5.050000190734863,40.5,22.5,-18.0,0.0,-0.09999990463256836,1.0
330.0,4.0,0.0,1.0,4.0,16.0,5.420000076293945,3.0,20.0,5.670000076293945,12.0,13.0,1.0,0.0,0.25,1.0
334.0,1.0,0.0,1.0,10.0,10.0,5.0,0.0,20.0,5.050000190734863,15.0,10.0,-5.0,0.009999999776482582,0.05000019073486328,1.0
349.0,3.0,1.0,1.0,2.5,27.0,5.0,0.0,20.0,5.050000190734863,16.0,10.0,-6.0,0.009999999776482582,0.05000019073486328,1.0
354.0,4.0,0.0,1.0,14.0,7.0,5.059999942779541,9.0,7.0,5.050000190734863,17.5,12.5,-5.0,0.0,-0.009999752044677734,1.0
356.0,4.0,0.0,1.0,11.5,10.0,5.050000190734863,0.0,28.0,5.050000190734863,16.5,14.0,-2.5,0.0,0.0,1.0
357.0,4.0,0.0,1.0,4.5,20.0,5.0,21.0,6.0,5.25,14.5,24.0,9.5,0.009999999776482582,0.25,1.0
371.0,1.0,0.0,1.0,12.0,23.0,5.0,11.0,22.0,5.25,23.5,22.0,-1.5,0.009999999776482582,0.25,1.0
373.0,1.0,1.0,1.0,14.0,12.0,5.0,18.0,15.0,5.050000190734863,20.0,25.5,5.5,0.009999999776482582,0.05000019073486328,1.0
375.0,1.0,0.0,1.0,25.0,10.0,5.25,0.0,25.0,5.5,30.0,12.5,-17.5,0.0,0.25,1.0
378.0,1.0,1.0,1.0,10.0,8.0,5.0,20.0,15.0,5.050000190734863,14.0,27.5,13.5,0.009999999776482582,0.05000019073486328,1.0
381.0,1.0,0.0,1.0,10.0,20.0,5.0,15.0,15.0,5.050000190734863,20.0,22.5,2.5,0.009999999776482582,0.05000019073486328,1.0
406.0,4.0,1.0,1.0,12.0,35.0,5.0,17.0,22.0,5.5,29.5,28.0,-1.5,0.009999999776482582,0.5,1.0
407.0,4.0,1.0,1.0,5.0,10.0,5.75,8.0,7.0,5.5,10.0,11.5,1.5,0.0,-0.25,1.0
409.0,1.0,0.0,1.0,3.0,60.0,5.0,0.0,15.0,5.050000190734863,33.0,7.5,-25.5,0.009999999776482582,0.05000019073486328,1.0
1.0,1.0,0.0,1.0,16.0,30.0,4.5,20.0,40.0,5.050000190734863,31.0,40.0,9.0,0.12222222238779068,0.5500001907348633,1.0
2.0,1.0,0.0,1.0,10.0,6.0,4.75,7.5,10.0,5.25,13.0,12.5,-0.5,0.06315789371728897,0.5,1.0
